Company Name,Industry,Budget Range,Location,Target Audience,Marketing Goals,Commitment Level Years,sport
UniqueCompany_0,Food & Beverage,"Over 100,000",Ahmedabad,Seniors,Sales Increase,4.85,Basketball
UniqueCompany_1,Fashion,"20,000-100,000",Visakhapatnam,Seniors,Market Expansion,0.76,Tennis
UniqueCompany_2,Technology,"20,000-100,000",Ghaziabad,Teens,Sales Increase,4.09,Wrestling
UniqueCompany_3,Fashion,"1,000-5,000",Ludhiana,Seniors,Brand Awareness,4.09,Soccer
UniqueCompany_4,Healthcare,"20,000-100,000",Varanasi,Adults,Market Expansion,1,Basketball
UniqueCompany_5,Fashion,"20,000-100,000",Nagpur,Teens,Market Expansion,2.6,Soccer
UniqueCompany_6,Technology,"20,000-100,000",Kanpur,Teens,Market Expansion,3.89,Wrestling
UniqueCompany_7,Fashion,"1,000-5,000",Nashik,Young Adults,Brand Awareness,4.25,Wrestling
UniqueCompany_8,Finance,"1,000-5,000",Faridabad,Young Adults,Sales Increase,3.81,Wrestling
UniqueCompany_9,Technology,"1,000-5,000",Aurangabad,Teens,Brand Awareness,3.4,Cricket
UniqueCompany_10,Sports,"1,000-5,000",Chennai,Teens,Sales Increase,3.99,Athletics
UniqueCompany_11,Healthcare,"1,000-5,000",Patna,Seniors,Sales Increase,0.87,Tennis
UniqueCompany_12,Food & Beverage,"Over 100,000",Hyderabad,Teens,Brand Awareness,2.73,Soccer
UniqueCompany_13,Healthcare,"1,000-5,000",Jaipur,Seniors,Brand Awareness,2.92,Football
UniqueCompany_14,Finance,"1,000-5,000",Rajkot,Teens,Brand Awareness,0.75,Swimming
UniqueCompany_15,Healthcare,"Over 100,000",Mumbai,Teens,Sales Increase,4.88,Tennis
UniqueCompany_16,Healthcare,"20,000-100,000",Ludhiana,Teens,Sales Increase,1.16,Swimming
UniqueCompany_17,Finance,"20,000-100,000",Varanasi,Young Adults,Sales Increase,2.11,Wrestling
UniqueCompany_18,Finance,"20,000-100,000",Meerut,Adults,Brand Awareness,1.88,Athletics
UniqueCompany_19,Technology,"5,000-20,000",Delhi,Young Adults,Market Expansion,2.25,Wrestling
UniqueCompany_20,Sports,"Over 100,000",Varanasi,Adults,Market Expansion,2.68,Swimming
UniqueCompany_21,Sports,"Over 100,000",Ludhiana,Teens,Brand Awareness,2.7,Athletics
UniqueCompany_22,Technology,"Over 100,000",Hyderabad,Young Adults,Brand Awareness,2.01,Soccer
UniqueCompany_23,Food & Beverage,"20,000-100,000",Faridabad,Adults,Brand Awareness,2.28,Soccer
UniqueCompany_24,Healthcare,"5,000-20,000",Jaipur,Teens,Market Expansion,4.06,Football
UniqueCompany_25,Fashion,"1,000-5,000",Surat,Adults,Market Expansion,4.15,Basketball
UniqueCompany_26,Fashion,"1,000-5,000",Dhanbad,Adults,Brand Awareness,4.73,Football
UniqueCompany_27,Food & Beverage,"1,000-5,000",Meerut,Adults,Market Expansion,2.34,Athletics
UniqueCompany_28,Healthcare,"Over 100,000",Thane,Seniors,Brand Awareness,0.73,Swimming
UniqueCompany_29,Finance,"Over 100,000",Amritsar,Seniors,Market Expansion,1.66,Wrestling
UniqueCompany_30,Food & Beverage,"1,000-5,000",Nagpur,Teens,Sales Increase,4.1,Basketball
UniqueCompany_31,Food & Beverage,"20,000-100,000",Ahmedabad,Seniors,Sales Increase,0.87,Tennis
UniqueCompany_32,Finance,"Over 100,000",Ludhiana,Teens,Sales Increase,2.71,Basketball
UniqueCompany_33,Healthcare,"Over 100,000",Surat,Young Adults,Sales Increase,3.03,Basketball
UniqueCompany_34,Finance,"5,000-20,000",Surat,Young Adults,Market Expansion,2.35,Tennis
UniqueCompany_35,Sports,"1,000-5,000",Lucknow,Teens,Sales Increase,2.86,Football
UniqueCompany_36,Food & Beverage,"20,000-100,000",Pune,Adults,Brand Awareness,1.48,Soccer
UniqueCompany_37,Healthcare,"5,000-20,000",Bhopal,Adults,Brand Awareness,1.1,Swimming
UniqueCompany_38,Technology,"1,000-5,000",Faridabad,Young Adults,Brand Awareness,2.41,Tennis
UniqueCompany_39,Food & Beverage,"Over 100,000",Aurangabad,Seniors,Brand Awareness,2.97,Football
UniqueCompany_40,Technology,"1,000-5,000",Lucknow,Adults,Brand Awareness,4.71,F1-Racing
UniqueCompany_41,Technology,"1,000-5,000",Kolkata,Adults,Brand Awareness,3.93,Cricket
UniqueCompany_42,Healthcare,"20,000-100,000",Dhanbad,Adults,Market Expansion,0.77,Basketball
UniqueCompany_43,Fashion,"Over 100,000",Nashik,Seniors,Market Expansion,2.97,F1-Racing
UniqueCompany_44,Technology,"Over 100,000",Aurangabad,Young Adults,Brand Awareness,2.67,F1-Racing
UniqueCompany_45,Technology,"5,000-20,000",Nagpur,Teens,Brand Awareness,3.11,Basketball
UniqueCompany_46,Fashion,"20,000-100,000",Mumbai,Adults,Market Expansion,1.12,Athletics
